                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 2.1324,                 4.9696,                 1.6889,                0.03735,                0.13472,                0.04956,                0.02729,                 1.7172,                 11.923,                0.87579,             3.1229e-05,             3.1229e-05,             3.1229e-05
                     33,                 2.4509,                  5.554,                 1.8571,                0.05213,                0.07917,                0.04778,                 0.0247,                 1.7217,                 11.636,                0.87076,             3.2048e-05,             3.2048e-05,             3.2048e-05
                     34,                 1.8636,                 4.9437,                 1.4224,                0.05006,                0.09306,                0.04935,                0.02534,                 1.7217,                 11.636,                0.87076,             3.2855e-05,             3.2855e-05,             3.2855e-05
                     35,                  2.153,                 4.9273,                 1.5709,                 0.0126,                0.07639,                0.02172,                0.01659,                 1.7042,                 11.305,                0.86268,             3.3651e-05,             3.3651e-05,             3.3651e-05
                     36,                 2.1616,                 5.0428,                  1.516,                0.05142,                0.09306,                0.04866,                0.02709,                 1.7042,                 11.305,                0.86268,             3.4434e-05,             3.4434e-05,             3.4434e-05
                     37,                 1.7056,                 4.3564,                 1.3247,                0.00905,                0.07639,                0.02255,                0.01697,                 1.6864,                  10.95,                0.86074,             3.5206e-05,             3.5206e-05,             3.5206e-05
                     38,                  2.204,                 4.9102,                 1.7589,                0.04864,                0.09306,                0.04902,                0.02726,                 1.6864,                  10.95,                0.86074,             3.5966e-05,             3.5966e-05,             3.5966e-05
                     39,                 2.5494,                 5.2516,                 1.7764,                0.19487,                0.02083,                0.02565,                0.01906,                 1.6663,                 10.663,                0.85617,             3.6714e-05,             3.6714e-05,             3.6714e-05
                     40,                  2.207,                 5.0568,                 1.5937,                0.03407,                0.05139,                 0.0456,                0.02599,                 1.6663,                 10.663,                0.85617,             3.7451e-05,             3.7451e-05,             3.7451e-05
                     41,                 2.2121,                 4.8506,                 1.6502,                0.28578,                0.02083,                0.02719,                0.01889,                 1.6414,                 10.366,                0.85133,             3.8175e-05,             3.8175e-05,             3.8175e-05
                     42,                 2.0976,                 4.7378,                 1.5431,                0.03542,                0.06528,                0.05054,                0.02965,                 1.6414,                 10.366,                0.85133,             3.8888e-05,             3.8888e-05,             3.8888e-05
                     43,                 2.0549,                 4.3834,                   1.63,                0.03244,                0.07361,                0.05515,                0.03316,                 1.6219,                 9.9692,                0.84663,             3.9589e-05,             3.9589e-05,             3.9589e-05
                     44,                 2.0762,                 4.5305,                 1.4039,                 0.0745,                   0.15,                0.09367,                 0.0462,                 1.6219,                 9.9692,                0.84663,             4.0278e-05,             4.0278e-05,             4.0278e-05
                     45,                 1.8926,                 4.5322,                 1.3837,                0.47654,                0.02083,                0.03053,                0.01925,                 1.6039,                 9.5824,                0.83728,             4.0956e-05,             4.0956e-05,             4.0956e-05
                     46,                 1.7906,                 4.2131,                 1.4041,                0.15586,                 0.0577,                0.05206,                 0.0315,                 1.6039,                 9.5824,                0.83728,             4.1622e-05,             4.1622e-05,             4.1622e-05
                     47,                 1.7307,                 3.6006,                 1.3696,                0.48126,                0.02083,                0.03376,                0.02056,                  1.587,                 9.2306,                0.83429,             4.2276e-05,             4.2276e-05,             4.2276e-05
                     48,                 2.0429,                  4.502,                 1.3592,                0.06453,                0.24722,                 0.1037,                0.05901,                  1.587,                 9.2306,                0.83429,             4.2918e-05,             4.2918e-05,             4.2918e-05
                     49,                 1.9394,                 3.9505,                 1.3255,                0.48847,                0.02495,                0.03644,                0.02498,                 1.5662,                  8.827,                0.83348,             4.3548e-05,             4.3548e-05,             4.3548e-05
                     50,                 1.6063,                 3.4744,                 1.2322,                0.34918,                0.05139,                0.06234,                0.03893,                 1.5662,                  8.827,                0.83348,             4.4167e-05,             4.4167e-05,             4.4167e-05
                     51,                 1.8529,                 4.2914,                 1.3345,                0.59572,                0.03472,                 0.0419,                0.02911,                 1.5427,                  8.393,                0.83091,             4.4774e-05,             4.4774e-05,             4.4774e-05
                     52,                 1.9618,                 4.1748,                 1.3713,                 0.3936,                0.05841,                0.07437,                0.04553,                 1.5427,                  8.393,                0.83091,             4.5369e-05,             4.5369e-05,             4.5369e-05
                     53,                 1.8227,                 3.8921,                 1.4003,                0.06979,                0.32153,                0.12565,                0.07329,                 1.5427,                  8.393,                0.83091,             4.5952e-05,             4.5952e-05,             4.5952e-05
